iter	Logloss
0	0.4979726618
1	0.3794964877
2	0.3173736418
3	0.2721642388
4	0.2373144747
5	0.2185317531
6	0.1952358015
7	0.173884151
8	0.1583367935
9	0.1476063584
10	0.1384318092
11	0.1328464084
12	0.1233689857
13	0.1127419905
14	0.1055592816
15	0.09860871055
16	0.09173595544
17	0.08753759211
18	0.08595807625
19	0.08110422077
20	0.0786523241
21	0.07421235364
22	0.07022656816
23	0.06745747364
24	0.06317954593
25	0.06023981114
26	0.05676531069
27	0.05360907256
28	0.05101259309
29	0.04968310847
30	0.04794700218
31	0.04610794241
32	0.04395775843
33	0.04189414207
34	0.03991599998
35	0.03809902403
36	0.03618858559
37	0.03515063873
38	0.03349645692
39	0.03182342317
40	0.03017353289
41	0.03012591901
42	0.02863768616
43	0.02783896465
44	0.02619877729
45	0.02554101173
46	0.02475226528
47	0.0239052917
48	0.02307084112
49	0.02223212069
50	0.0213418633
51	0.02071275133
52	0.01992822055
53	0.01915904609
54	0.01844770981
55	0.01797299192
56	0.01741629899
57	0.01687426639
58	0.01625384947
59	0.01574366984
60	0.01512378996
61	0.01469224872
62	0.01423171313
63	0.0138369016
64	0.01361628976
65	0.01330102815
66	0.01297731231
67	0.01272808181
68	0.0123985488
69	0.0121214751
70	0.01174267856
71	0.01124579015
72	0.01094087808
73	0.01077460279
74	0.01056571681
75	0.01029473965
76	0.009999317352
77	0.009806469835
78	0.009749113911
79	0.009525773501
80	0.009366181162
81	0.009136128907
82	0.00892772217
83	0.008818208569
84	0.008676172507
85	0.008444261069
86	0.008255165635
87	0.008103754183
88	0.007961040193
89	0.007807710556
90	0.007680937497
91	0.007616973887
92	0.007516948262
93	0.007371091481
94	0.007219058095
95	0.007060038321
96	0.006861024433
97	0.00677878387
98	0.006630469452
99	0.006501612037
100	0.006393099674
101	0.006276544898
102	0.006187010293
103	0.006126598878
104	0.006028259643
105	0.005909032292
106	0.005836188191
107	0.005751791627
108	0.005669509522
109	0.005624077537
110	0.00559470509
111	0.005519918721
112	0.00546829568
113	0.00541045449
114	0.005342906172
115	0.005270596707
116	0.005210807829
117	0.005154690959
118	0.005154628344
119	0.005049760896
120	0.004992767717
121	0.004940725938
122	0.004896237995
123	0.004871426207
124	0.004814368306
125	0.004741038036
126	0.004689207884
127	0.004625372814
128	0.004571722312
129	0.004493506268
130	0.004437457431
131	0.004385864494
132	0.004330169673
133	0.004290597908
134	0.004248907771
135	0.004208061129
136	0.004169200406
137	0.00411283428
138	0.004079725405
139	0.00405084274
140	0.004016261209
141	0.003961239499
142	0.003918051118
